age_group,protection_rounded,proportion
0,0.0,0.2540722082283795
0,0.1,0.0
0,0.2,0.04063811922753988
0,0.3,0.34979009235936187
0,0.4,0.10881612090680101
0,0.5,0.08816120906801007
0,0.6,0.11200671704450042
0,0.7,0.03895885810243493
0,0.8,0.007388748950461797
0,0.9,0.00016792611251049538
1,0.0,0.24013055641902392
1,0.1,0.00015542430836182778
1,0.2,0.047559838358719304
1,0.3,0.3481504507304943
1,0.4,0.11206092632887783
1,0.5,0.09729561703450419
1,0.6,0.10351258936897731
1,0.7,0.042586260491140816
1,0.8,0.0083929126515387
1,0.9,0.00015542430836182778
2,0.0,0.13770634231103387
2,0.1,0.0010136113524471474
2,0.2,0.14219519258615695
2,0.3,0.34607587604981177
2,0.4,0.11482768607008398
2,0.5,0.10237474659716189
2,0.6,0.10440196930205618
2,0.7,0.03909643788010426
2,0.8,0.011294526498696786
2,0.9,0.0010136113524471474
3,0.0,0.008226691042047532
3,0.1,0.00026116479498563595
3,0.2,0.05850091407678245
3,0.3,0.4512927657351789
3,0.4,0.15003917471924785
3,0.5,0.12888482632541134
3,0.6,0.13815617654740142
3,0.7,0.05001305823974928
3,0.8,0.01410289892922434
3,0.9,0.0005223295899712719
4,0.0,0.019324343111358264
4,0.1,0.0005560962046434033
4,0.2,0.07368274711525094
4,0.3,0.4304184623939942
4,0.4,0.1430557486445155
4,0.5,0.12067287640761852
4,0.6,0.13596552203531212
4,0.7,0.05783400528291394
4,0.8,0.01807312665091061
4,0.9,0.0004170721534825525
5,0.0,0.032143345643550814
5,0.1,0.0025988236903296403
5,0.2,0.14676514840651073
5,0.3,0.37915469839967175
5,0.4,0.13254000820681167
5,0.5,0.11516892353987143
5,0.6,0.11325400082068117
5,0.7,0.05019833128163042
5,0.8,0.02735603884557516
5,0.9,0.0008206811653672548
6,0.0,0.0286203941730934
6,0.1,0.003084832904884319
6,0.2,0.18731790916880892
6,0.3,0.25329905741216796
6,0.4,0.0832904884318766
6,0.5,0.0803770351328192
6,0.6,0.13161953727506426
6,0.7,0.14721508140531278
6,0.8,0.08466152527849186
6,0.9,0.0005141388174807198
7,0.0,0.022371850564726323
7,0.1,0.008036490008688097
7,0.2,0.11707211120764553
7,0.3,0.10708079930495222
7,0.4,0.0369244135534318
7,0.5,0.07841007819287577
7,0.6,0.2602085143353606
7,0.7,0.2665073848827107
7,0.8,0.10338835794960903
7,0.9,0.0
8,0.0,0.016546457361052185
8,0.1,0.035214255409418756
8,0.2,0.09164191769198134
8,0.3,0.09503606279168435
8,0.4,0.06703436571913449
8,0.5,0.18879932117098006
8,0.6,0.28977513788714465
8,0.7,0.15782774713619008
8,0.8,0.057276198557488334
8,0.9,0.0008485362749257531
